epoch,dataset,total_loss,ade,fde,min_ade,min_fde,num_traj,min_fde_epoch
0,NuScene,11.787891496345994,4.526439785137523,10.38660298930844,4.526439785137523,10.38660298930844,5671,0
1,NuScene,8.217686937420092,2.7040900713214797,6.43706281995294,2.7040900713214797,6.43706281995294,5671,1
2,NuScene,6.712023114172567,1.9864010596439292,4.552223827447489,1.9864010596439292,4.552223827447489,5671,2
3,NuScene,6.020903549436924,1.9087621451391155,4.2669749803968555,1.9087621451391155,4.2669749803968555,5671,3
4,NuScene,5.693371822799901,1.6437701269172316,3.611163062827336,1.6437701269172316,3.611163062827336,5671,4
5,NuScene,5.51535893547895,1.5192138410039184,3.2606483214621695,1.5192138410039184,3.2606483214621695,5671,5
6,NuScene,5.4056141160440365,1.4545635232806016,3.0931725553305056,1.4545635232806016,3.0931725553305056,5671,6
7,NuScene,5.338349288521965,1.466204824533397,3.0689761559182513,1.466204824533397,3.0689761559182513,5671,7
8,NuScene,5.294324599692097,1.3893804257560545,2.918186746058147,1.3893804257560545,2.918186746058147,5671,8
9,NuScene,5.259156624349767,1.4051853994531955,2.896301922355037,1.4051853994531955,2.896301922355037,5671,9
10,NuScene,5.207505116970626,1.256886627198611,2.666824308027773,1.256886627198611,2.666824308027773,5671,10
11,NuScene,5.124486507027631,1.1941296579639782,2.4950924932042287,1.1941296579639782,2.4950924932042287,5671,11
12,NuScene,5.050988714342466,1.0276713289715924,2.1319265663255944,1.0276713289715924,2.1319265663255944,5671,12
13,NuScene,4.9895922087713345,1.028355662857618,2.0244251076999826,1.028355662857618,2.0244251076999826,5671,13
14,NuScene,4.961961609001948,0.9797180303924404,1.9691044493466536,0.9797180303924404,1.9691044493466536,5671,14
15,NuScene,4.938219946025854,0.9893425268967975,1.961534571256656,0.9797180303924404,1.9691044493466536,5671,14
16,NuScene,4.927599527119453,0.9754937539296561,1.995389185303251,0.9797180303924404,1.9691044493466536,5671,14
17,NuScene,4.900607443386496,0.9096106911142801,1.8281962825726041,0.9096106911142801,1.8281962825726041,5671,17
18,NuScene,4.8923082109096505,0.9070698698242596,1.8169344137047485,0.9070698698242596,1.8169344137047485,5671,18
19,NuScene,4.886030200175905,0.9433826736789219,1.8557213551362046,0.9070698698242596,1.8169344137047485,5671,18
20,NuScene,4.87983376877486,0.930727926727494,1.8120203561367465,0.9070698698242596,1.8169344137047485,5671,18
21,NuScene,4.866886347390131,0.9417853102316577,1.863146709441466,0.9070698698242596,1.8169344137047485,5671,18
22,NuScene,4.855893659667483,0.9102173595700898,1.8106950663359913,0.9102173595700898,1.8106950663359913,5671,22
23,NuScene,4.842987062063051,0.8806833153867444,1.7512353043816031,0.8806833153867444,1.7512353043816031,5671,23
24,NuScene,4.845221943241235,0.8804380907581042,1.749367160827389,0.8804380907581042,1.749367160827389,5671,24
25,NuScene,4.829305976297594,0.8894990540290716,1.757570026917677,0.8804380907581042,1.749367160827389,5671,24
26,NuScene,4.8318889334395125,0.9030206588142408,1.7583948095688595,0.8804380907581042,1.749367160827389,5671,24
27,NuScene,4.821975076520765,0.8528879241660839,1.6950734763565023,0.8528879241660839,1.6950734763565023,5671,27
28,NuScene,4.819601638138957,0.9032822208542438,1.820145118806207,0.8528879241660839,1.6950734763565023,5671,27
29,NuScene,4.8091205436209234,0.8758889855667515,1.7068966993514538,0.8528879241660839,1.6950734763565023,5671,27
30,NuScene,4.800015810373667,0.8716132356216196,1.7203372362702218,0.8528879241660839,1.6950734763565023,5671,27
31,NuScene,4.803527991229665,0.8535862571031533,1.674286644413786,0.8535862571031533,1.674286644413786,5671,31
32,NuScene,4.805126385014083,0.8571768479674313,1.6849628967112953,0.8535862571031533,1.674286644413786,5671,31
33,NuScene,4.795022665032901,0.8665048667855246,1.702267072163358,0.8535862571031533,1.674286644413786,5671,31
34,NuScene,4.788902560174939,0.9026817237021242,1.766188741423974,0.8535862571031533,1.674286644413786,5671,31
35,NuScene,4.786396599725623,0.890351226522775,1.7294760137150011,0.8535862571031533,1.674286644413786,5671,31
36,NuScene,4.781995468564178,0.8501657880060972,1.6826399295465841,0.8535862571031533,1.674286644413786,5671,31
37,NuScene,4.781463265987572,0.8647722294880923,1.697067714035984,0.8535862571031533,1.674286644413786,5671,31
38,NuScene,4.773629677504159,0.8836890711521181,1.7452868455050379,0.8535862571031533,1.674286644413786,5671,31
39,NuScene,4.768615779512827,0.8738645066913947,1.743312749928256,0.8535862571031533,1.674286644413786,5671,31
40,NuScene,4.766341163926359,0.8567885979208613,1.6882057203394756,0.8535862571031533,1.674286644413786,5671,31
41,NuScene,4.771597049573646,0.8519369018412082,1.688575679380161,0.8535862571031533,1.674286644413786,5671,31
42,NuScene,4.76808417506741,0.8681719697061995,1.6827048781140521,0.8535862571031533,1.674286644413786,5671,31
43,NuScene,4.759616225626207,0.8423434109352312,1.676255003145985,0.8423434109352312,1.676255003145985,5671,43
44,NuScene,4.758165735508565,0.8439640362328731,1.6652539121560204,0.8439640362328731,1.6652539121560204,5671,44
45,NuScene,4.762695336000719,0.8493079873456503,1.6824633671143892,0.8439640362328731,1.6652539121560204,5671,44
46,NuScene,4.749324692451707,0.8808619543434429,1.749894410040702,0.8439640362328731,1.6652539121560204,5671,44
47,NuScene,4.75723233927983,0.8599217935668751,1.6990702943056901,0.8439640362328731,1.6652539121560204,5671,44
48,NuScene,4.75072528144703,0.8553708007864969,1.6459500864897008,0.8553708007864969,1.6459500864897008,5671,48
49,NuScene,4.747338329854944,0.8978462571547873,1.7667303652049497,0.8553708007864969,1.6459500864897008,5671,48
